region,bone,status,mesh_ids,model_names,layer,mesh_count,provenance,note
Cranial bones,Frontal bone,represented,FJ3200,Frontal bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Right fourth metatarsal bone,represented,FJ3357,Right fourth metatarsal bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Right fifth metatarsal bone,represented,FJ3359,Right fifth metatarsal bone,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Proximal phalanx of right big toe,represented,FJ3310,Proximal phalanx of right big toe,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Distal phalanx of right big toe,represented,FJ3192,Distal phalanx of right big toe,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Proximal phalanx of right second toe,represented,FJ3319,Proximal phalanx of right second toe,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Middle phalanx of right second toe,represented,FJ3300,Middle phalanx of right second toe,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Distal phalanx of right second toe,represented,FJ3189,Distal phalanx of right second toe,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Proximal phalanx of right third toe,represented,FJ3320,Proximal phalanx of right third toe,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Middle phalanx of right third toe,represented,FJ3301,Middle phalanx of right third toe,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Distal phalanx of right third toe,represented,FJ3190,Distal phalanx of right third toe,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Proximal phalanx of right fourth toe,represented,FJ3321,Proximal phalanx of right fourth toe,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Middle phalanx of right fourth toe,represented,FJ3302,Middle phalanx of right fourth toe,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Distal phalanx of right fourth toe,represented,FJ3191,Distal phalanx of right fourth toe,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Proximal phalanx of right little toe,represented,FJ3324,Proximal phalanx of right little toe,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Middle phalanx of right little toe,represented,FJ3305,Middle phalanx of right little toe,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
Lower limbs and feet,Distal phalanx of right little toe,represented,FJ3195,Distal phalanx of right little toe,skeletal,1,adapted,Named mesh evidence only; shape and placement unvalidated.
